feature_index,importance_mean,importance_std
945,1.982728018851132e-06,0.00013824374679345718
1919,1.8751946298939393e-06,0.0001367599066206314
1663,1.848456057551573e-06,7.177034103248688e-05
1380,1.7913100239241864e-06,0.00013297300799546474
1837,1.4340817436897524e-06,0.0001593843287650801
1992,1.3215615562722771e-06,0.0006991361096529553
299,1.2589016662178931e-06,3.330740733897388e-06
312,1.2589016662178931e-06,3.330740733897388e-06
1474,6.533841746397817e-07,0.0002187573274254721
1404,4.6337224535175636e-07,0.00019858248032905172
322,2.636951818985045e-07,0.00019422109228535564
280,0.0,0.0
91,0.0,0.0
66,0.0,0.0
64,0.0,0.0
117,0.0,0.0
276,0.0,0.0
270,0.0,0.0
465,0.0,0.0
77,0.0,0.0
277,0.0,0.0
288,0.0,0.0
459,0.0,0.0
297,0.0,0.0
468,0.0,0.0
469,0.0,0.0
100,0.0,0.0
65,0.0,0.0
281,0.0,0.0
290,0.0,0.0
279,0.0,0.0
291,0.0,0.0
78,0.0,0.0
96,0.0,0.0
268,0.0,0.0
69,0.0,0.0
464,0.0,0.0
496,0.0,0.0
702,0.0,0.0
486,0.0,0.0
59,0.0,0.0
118,0.0,0.0
254,0.0,0.0
9,0.0,0.0
495,0.0,0.0
81,0.0,0.0
74,0.0,0.0
70,0.0,0.0
253,0.0,0.0
1980,0.0,0.0
455,0.0,0.0
252,0.0,0.0
250,0.0,0.0
249,0.0,0.0
14,0.0,0.0
255,0.0,0.0
83,0.0,0.0
248,0.0,0.0
258,0.0,0.0
216,0.0,0.0
119,0.0,0.0
120,0.0,0.0
79,0.0,0.0
29,0.0,0.0
63,0.0,0.0
320,0.0,0.0
266,0.0,0.0
282,0.0,0.0
682,0.0,0.0
241,0.0,0.0
1806,0.0,0.0
82,0.0,0.0
497,0.0,0.0
75,0.0,0.0
61,0.0,0.0
482,0.0,0.0
231,0.0,0.0
274,-2.651988906254843e-10,4.1484598940089756e-05
1765,-3.508804352625461e-08,0.000278445795311693
872,-7.218810797737785e-08,0.00020072752149335224
1649,-3.2270630354047647e-07,0.0001876912958223878
461,-4.259119426308633e-07,8.139377321968732e-05
243,-6.499653153885232e-07,5.13070593267118e-05
